ID,Age,Rank,Total
AL,A,3,42
AM,A,2,88
AU,A,5,92
BL,A,1,115
BM,A,7,6
BO,A,6,39
ED,J,9,40
KO,J,11,34
MA,J,10,33
RE,J,8,34
TI,A,12,13
TO,A,4,39
