,,,Pre-release,Post-release
Females,A & J,rho,-0.836,-0.768
,,p,<0.005,<0.005
Females,A only,rho,-0.881,-0.814
,,p,<0.05,<0.05
Males,"A, SA, & J",rho,-0.071,
,,p,0.906,
